AREAKEY,TRCTPOP1,MDFAMY1A,MDVALHS1A
36047008400,3299,23825,624300
36047008500,6956,18654,0
36047008600,0,0,0
36047008800,3207,34572,276300
36047009000,2994,29375,372500
36047009200,5388,39219,604200
36047009400,5805,38610,675400
36047009600,6126,50197,593300
36047009800,7024,35169,646700
36047010000,6737,36406,647800
36047010100,4093,58182,572600
36047010200,5622,38151,611300
36047010400,5908,25469,671700
36047010600,5851,27413,612000
36047010800,5280,32487,615700
36047011000,2441,43438,581800
36047011200,6436,28735,339500
36047011400,3976,45787,917300
36047011600,4816,32128,747200
36047011700,2364,63869,821400
36047011800,2253,33631,656300
36047011900,1530,58388,382600
36047012000,1268,25833,497500
36047012100,1619,73542,654100
36047012200,5339,34795,629900
36047012600,2652,27361,628300
36047012700,3507,29821,653100
36047012801,2117,62688,579300
36047012901,2159,88056,665100
36047012902,1964,120320,1000001
36047013000,4792,50313,644800
36047013100,3828,113142,932200
36047013200,2239,35174,657000
36047013300,3730,124886,1000001
36047013400,3907,72143,663300
36047013500,3596,139625,882100
36047013600,3927,67756,619100
36047013700,3057,87404,960500
36047013800,3168,62391,703800
36047013900,3481,66719,1000001
36047014000,1826,62564,742300
36047014100,3017,105230,919100
36047014200,3223,60968,683900
36047014300,3487,65469,855700
36047014500,4179,53804,676000
36047014700,2084,52222,756600
36047014800,1209,111042,722000
36047014900,4976,123295,859900
36047015000,1574,69444,632900
36047015100,3578,130777,1000001
36047015200,2309,54435,497000
36047015300,3041,140987,1000001
36047015400,0,0,0
36047015500,3272,116860,1000001
36047015700,4135,198295,1000001
36047015900,5036,147083,734000
36047016000,4217,56458,511100
36047016100,3075,118854,811800
36047016200,2082,87466,371500
36047016300,2991,91750,746700
36047016400,764,61458,0
36047016500,5141,192292,836000
36047016600,2059,90758,693600
36047016700,4638,131987,1000001
36047016800,1510,94300,592000
36047016900,4497,87955,856400
36047017000,3254,64750,709700
36047017100,3749,105608,853100
36047017200,2931,67470,663900
36047017400,1793,67986,609900
36047017500,5,0,0
36047017600,2295,55069,509700
36047017700,0,0,0
36047017800,2898,53690,631600
36047017900,3624,61304,827800
36047018000,3193,35615,640300
36047018100,3936,116322,597800
36047018200,3163,45054,633200
36047018300,2500,116016,1000001
36047018400,2002,55568,632200
36047018501,3827,21850,1000001
36047018600,2124,90946,629200
36047018700,1411,75855,1000001
36047018800,2640,76211,697700
36047019000,4782,38536,663500
36047019100,2332,51600,680600
36047019200,2772,29647,636900
36047019300,5628,59688,339700
36047019400,3305,34250,575000
36047019500,3366,53167,389800
36047019600,4353,38288,682600
36047019700,3313,101985,462100
36047019800,1702,51169,637800
36047019900,2929,90455,1000001
36047020000,2265,47582,668400
36047020100,3421,89792,994600
36047020200,1874,79470,632500
36047020300,1697,44833,661100
36047020400,1708,70081,646000
36047020500,2469,92989,474600
36047020600,2220,64583,656100
36047020700,4310,123819,668100
36047020800,3048,57697,641500
36047021000,3968,52585,711500
36047021100,1210,76571,392500
36047021200,4643,47847,714000
36047021300,4205,59565,519200
36047021400,2152,25885,632500
36047021500,5307,66818,474800
36047021600,4015,31753,725800
36047021700,3597,40022,466700
36047021800,3761,35561,780400
36047021900,3595,35133,644100
36047022000,4939,31933,715000
36047022100,3609,50417,611800
36047022200,4693,26301,733100
36047022400,5486,41000,509500
36047022600,2516,43980,529900
36047022700,3454,37941,641900
36047022800,3306,42676,608600
36047022900,3395,49394,636900
36047023000,4515,28309,646800
36047023100,3025,71500,707100
36047023200,5699,27308,711700
36047023300,5061,42756,707700
36047023400,5059,40212,933300
36047023500,3928,37195,687500
36047023600,5600,38594,1000001
36047023800,4590,42031,755500
36047024000,4693,42287,717800
36047024100,2229,71250,495600
36047024200,2984,48882,788800
36047024300,3786,34063,646800
36047024400,3238,41875,726300
36047024500,3946,51967,631000
36047024600,3256,47887,593900
36047024700,2316,41898,509500
36047024800,2698,59038,602900
36047024900,3823,44487,692300
36047025000,1722,41490,545300
36047025100,3816,34297,522300
36047025200,4786,51003,626600
36047025300,2754,57880,742100
36047025400,3500,48250,567500
36047025500,5102,22227,0
36047025600,3058,42000,618900
36047025700,2131,33018,550800
36047025800,4597,39815,723100
36047025901,2010,22313,485600
36047025902,3419,18750,0
36047026000,3649,47404,611500
36047026100,4917,31289,587200
36047026200,2374,52443,594600
36047026300,1868,35127,605200
36047026400,4592,47888,633700
36047026500,3838,31786,633600
36047026600,3733,56250,677100
36047026700,3920,65263,723200
36047026800,4188,50500,758900
36047026900,2770,39193,658700
36047027000,2449,44286,551400
36047027100,2471,43686,450000
36047027200,3480,46635,697900
36047027300,2813,56667,649100
36047027400,3028,49583,641600
36047027500,4180,72857,579700
36047027600,3694,46361,711100
36047027700,3945,39861,617400
36047027800,3220,45854,594700
36047027900,3674,55082,561700
36047028000,1761,68818,600600
36047028100,4193,35208,615500
36047028200,2943,36989,595200
36047028300,4097,20491,594800
36047028400,4003,38281,705000
36047028501,428,96484,0
36047028502,2802,24808,0
36047028600,4814,46134,694400
36047028700,2991,22299,526000
36047028800,3458,32794,655100
36047028900,3538,41314,512600
36047029000,3920,45536,757500
36047029100,3101,35976,486400
36047029200,2539,30144,633000
36047029300,3106,46676,645300
36047029400,2321,27159,654300
36047029500,3425,55417,701400
36047029600,5546,44402,508300
36047029700,3344,65179,686100
36047029800,3717,48092,688000
36047029900,2579,37026,581400
36047030000,4120,42601,608400
36047030100,2750,43469,512200
36047030200,4214,48059,629300
36047030300,4458,25000,607900
36047030400,4281,41071,616100
36047030500,5549,54028,451100
36047030600,2005,63684,659700
36047030700,4544,22057,483100
36047030800,1949,51490,382800
36047030900,1754,20750,88600
36047031100,2833,38525,483600
36047031300,4648,33077,654500
36047031400,4544,56369,417100
36047031500,5175,39786,526300
36047031701,3433,35593,727100
36047031702,3363,47417,621000
36047031900,3508,44420,588500
36047032100,5001,37067,612900
36047032300,3554,41299,653200
36047032500,6405,49469,516900
36047032600,6948,32721,365300
36047032700,2924,53913,509100
36047032800,3138,35734,330400
36047032900,5582,37556,510600
36047033000,4587,29500,400000
36047033100,4520,45423,735800
36047033300,4085,44076,626700
36047033500,3139,60539,769700
36047033600,4759,69605,623700
36047033700,4105,50766,629900
36047033900,4376,59444,612000
36047034000,2248,26960,0
36047034100,2607,56096,528500
36047034200,6502,31783,411800
36047034300,5281,30432,604900
36047034500,2647,57250,469800
36047034700,3228,34608,350000
36047034800,2537,38209,407400
36047034900,5403,40536,564400
36047035000,3296,51458,187500
36047035100,4597,50333,490200
36047035200,1246,13873,0
36047035300,5161,32783,657000
36047035400,6271,59926,310900
36047035500,5253,35354,471400
36047035601,2912,53511,239300
36047035602,5271,52421,304700
36047035700,2506,35214,296300
36047035900,5685,30167,0
36047036001,3217,40446,321800
36047036002,3930,23017,312500
36047036100,2608,26597,398100
36047036200,4204,28011,634500
36047036300,4108,37149,516000
36047036400,2405,39450,589100
36047036501,2624,46391,438700
36047036502,1255,65388,288800
36047036600,4767,48846,559800
36047036700,1305,43542,417200
36047036900,4923,30335,468400
36047037000,4085,86203,462600
36047037100,4120,44261,535800
36047037300,3784,27429,585300
36047037401,4301,52090,551900
36047037402,4573,50496,608600
36047037500,2910,41546,475600
36047037700,3660,45744,612600
36047037900,3706,44500,470300
36047038100,4763,36545,538600
36047038200,5943,27753,596000
36047038300,3931,62750,588800
36047038500,3422,43750,606200
36047038600,3477,49732,618900
36047038700,4010,34948,532100
36047038800,3841,46739,597800
36047038900,2773,25135,574000
36047039000,2282,63583,612500
36047039100,2303,39472,398400
36047039200,2756,41868,692300
36047039300,3549,52278,428900
36047039400,2441,51863,867100
36047039500,3380,33222,719900
36047039600,2126,59000,639000
36047039700,3389,44167,581200
36047039800,2644,34511,561800
36047039900,3823,39145,433500
36047040000,3069,41067,652600
36047040100,3518,24375,469100
36047040200,2740,60848,644600
36047040300,3538,32460,459400
36047040400,2551,78696,752400
36047040500,1480,76023,435500
36047040600,3184,54825,627700
36047040700,14,0,0
36047040800,3566,46714,566200
36047040900,3752,31956,489700
36047041000,1773,60938,579700
36047041100,3302,35547,551900
36047041200,2929,42050,588500
36047041300,3822,47369,614800
36047041401,1351,45766,530300
36047041402,1612,81528,1000001
36047041500,4064,40625,479500
36047041600,2324,49609,784700
36047041700,3609,38797,607900
36047041800,2359,31361,456300
36047041900,3770,34913,525600
36047042000,1896,48375,753800
36047042100,3920,45327,516000
36047042200,3568,52989,773200
36047042300,4217,37418,617300
36047042400,3666,46344,655800
36047042500,3042,42868,409100
36047042600,4135,46250,561900
36047042700,5074,37158,451600
36047042800,3857,54365,579100
36047042900,5630,24803,184700
36047043000,3333,51618,786100
36047043100,5113,28644,533700
36047043200,4250,38523,472500
36047043300,4064,38053,544000
36047043400,3433,45431,588200
36047043500,4463,33405,547100
36047043600,4160,36394,658500
36047043700,5240,27732,560600
36047043800,2481,53750,635000
36047043900,3829,42021,578500
36047044000,2880,75076,717200
36047044100,5643,33532,481300
36047044200,2658,60675,653300
36047044300,5557,41000,507700
36047044400,3336,60127,576800
36047044500,4446,39661,426200
36047044600,1909,47083,490800
36047044700,2310,41875,281800
36047044800,1915,52031,476800
36047044900,2932,24102,555300
36047045000,673,38714,632100
36047045200,2701,67315,752000
36047045300,2017,37500,710900
36047045400,1852,69000,576300
36047045600,2357,27689,805900
36047045800,1490,112500,559300
36047046000,3729,54583,548500
36047046201,2632,28844,380300
36047046202,1803,48523,652300
36047046400,2838,53846,623800
36047046800,2054,51563,656900
36047047000,2886,50465,676500
36047047200,3141,61750,875700
36047047400,2969,65125,761300
36047047600,3646,31760,690000
36047047700,3318,82250,598400
36047047800,4848,29560,703100
36047048000,3769,53725,639800
36047048100,2778,80949,551500
36047048200,5331,31920,317300
36047048400,5481,43910,670400
