AREAKEY,TRCTPOP9,MDFAMY9,MDVALHS9,TRCTPOP0,MDFAMY0,MDVALHS0,TRCTPOP1,MDFAMY1A,MDVALHS1A
36005023301,4122,16357,67500,4916,23222,0,4377,30948,0
36005023302,3247,17679,0,3487,28259,179700,3415,18988,350000
36005023501,3612,14651,0,4405,26222,0,3341,29740,0
36005023502,4141,18582,55000,5178,23136,137500,4386,28469,255000
36005023600,1472,25786,174200,1707,29191,0,1907,52625,454500
36005023702,1279,12604,0,1378,13250,0,1241,20357,1000001
36005023703,5019,15635,225000,5168,21190,162500,5253,22235,41200
36005023704,3367,15635,225000,3466,21190,162500,3758,30647,0
36005023800,1653,36731,158804,2391,32741,178097,2615,47870,458600
36005023900,7309,10979,0,8094,16296,212500,8348,18085,0
36005024000,3076,33382,143300,3463,34271,186300,3882,39531,433200
36005024100,4757,9451,14999,5955,21414,112500,6182,25262,375000
36005024300,4870,10903,122500,5354,21778,143400,5685,25899,359600
36005024400,1789,43519,190700,2185,48750,205000,2120,87629,440100
36005024501,4026,16724,161700,4485,21376,143800,4864,25820,522300
36005024502,3639,16724,161700,4055,21376,143800,3640,35271,580700
36005024600,1819,35580,197300,2035,62961,213800,2058,70260,483500
36005024700,3406,26140,63015,3465,30720,104704,1764,45994,0
36005024800,2857,41217,212300,3245,59444,228100,3363,76563,500700
36005024900,147,41250,137500,148,22321,275000,0,0,0
36005025000,2251,40508,200000,2248,51477,194100,2383,62969,474300
36005025100,5726,13504,68600,6639,28048,199600,6802,32671,444100
36005025200,2280,46708,178800,2462,60515,196300,2530,54195,480300
36005025300,6414,15806,165300,6402,20284,134100,6332,21461,439200
36005025400,1919,41653,192900,1943,61250,186500,1959,63024,476700
36005025500,6618,17625,150800,6567,25328,145300,6529,24534,532900
36005025600,1497,51592,198700,1787,38214,206400,1663,80833,445200
36005025700,3109,23519,44694,2914,23905,70233,1912,41164,172200
36005026100,2306,56754,0,1533,62031,75000,1932,59423,139100
36005026300,6906,18304,122500,7978,24479,197600,6984,23272,0
36005026400,4286,42963,166500,4798,61500,190000,4935,73533,429200
